COUNTRY;agricultural_land;agriculture_value_added;cereal_yield;consumption;crop_index;employment_agriculture;export;FDI;GDP;import;inflation_cost_prices;inflation_deflator;livestock_index;natural_resources_rent;rural_population;total_tax;trade;urban_population;YEAR
Albania;42.8576642335766;19.7802144171366;4873.8;1.18272668755333;99.91;41.2835252576312;27.2673911512668;989578334.828615;11386853113.0189;44.5336151883802;1.89617402592365;0.563991350160876;100.24;1.73486186826951;42.566;36.9;71.801006339647;57.434;2015
Albania;43.1277372262774;19.8499944651163;4716.4;2.12682002466738;104.15;40.0408524130362;28.9778991754721;1044389554.85795;11764325094.2129;45.8319636476989;1.2754316836741;-0.632653419095547;101.53;1.05848104238626;41.579;36.9;74.809862823171;58.421;2016
Albania;42.8569708029197;19.0221266422351;4813.0;2.44344636342677;105.84;38.0783461432966;31.5697983098872;1022757857.07377;12211675169.6845;46.6244512220264;1.98666133171199;1.45073158124514;100.97;1.34604237945034;40.617;37.3;78.1942495319136;59.383;2017
Albania;42.8496715328467;18.4294953023634;4840.5;3.21553768118636;106.17;37.2857324793531;31.5719544148007;1204383363.60476;12702504600.374;45.2362297135284;2.02805963071136;1.47295348748196;105.5;1.71111628143642;39.681;37.3;76.8081841283291;60.319;2018
Albania;42.8467153284672;18.3893323354028;5038.2;3.30365862426707;107.67;36.4168555932713;31.3042698874727;1201022154.46643;12967696312.7715;44.9749247621036;1.41109078954246;1.25702482876329;98.98;1.63497378546365;38.771;36.6;76.2791946495763;61.229;2019
Algeria;17.4059228102468;11.5787073364509;1400.2;3.90000000070026;101.74;8.83476688460494;23.1717780134205;-537792920.921856;165979224866.131;36.5233505852979;4.78444700693889;-6.45565041377628;97.56;14.9252527493911;29.152;73.2;59.6951285987184;70.848;2015
Algeria;17.3655321884285;12.22009479501;1020.4;3.46615024896369;103.33;8.53515461678069;20.8724852102256;1638263953.77737;171290560064.735;35.0531826669525;6.39769480268757;1.54888054708621;101.83;12.8191814025545;28.541;66.0;55.9256678771781;71.459;2016
Algeria;17.3550108093197;11.7560887332265;990.3;1.85749971837748;104.4;10.1612902922086;22.6322322911166;1230243450.87889;173517337342.624;32.6891707303428;5.59111590961664;6.39065471422123;100.15;15.372392970843;27.948;66.1;55.3214030214594;72.052;2017
Algeria;17.3565679895505;11.8743717360924;1952.0;2.93044632092077;115.36;10.0921269795812;25.8611812587344;1466116068.03412;175599545392.513;32.204378846201;4.26999020467084;6.75721524154756;96.31;20.7172028374976;27.371;66.1;58.0655601049354;72.629;2018
Algeria;17.347004145287;12.3369528102165;1767.4;2.18629355270838;121.01;9.79844155538574;22.7144125423167;1381200049.59264;177355540843.199;29.0953258992595;1.95176821052892;-0.472073341295342;96.52;18.5236789388593;26.811;66.1;51.8097384415762;73.189;2019
Angola;36.7281623486003;9.12253437222206;982.4;16.3546933420613;100.89;56.8499019175073;29.7545979506807;10028215162.6394;90496420626.179;33.1339181383385;9.35383972513749;-3.51838534598478;99.8;13.3056748880613;36.554;49.0;62.8885160890192;63.446;2015
Angola;36.7562364642657;9.83116886032956;852.1;2.023378448187;105.11;56.2217533928862;28.1244854472006;-179517618.92;88161512322.2007;25.2456726203982;30.6989578589226;21.7743125582849;103.52;20.8851202682195;35.851;48.0;53.3701580675988;64.149;2016
Angola;36.7145263495628;10.0169959653141;809.0;-3.31535017851982;104.58;55.3202787713785;29.0041020030504;-7397295409.18991;88031782810.7052;23.2527202247958;29.8425777887099;22.6144365241349;107.46;25.9503299089307;35.161;49.1;52.2568222278462;64.839;2017
Angola;36.7305687013716;8.60774180183334;948.3;-0.675724812581123;107.34;54.4014880039501;40.8362898299819;-6456076413.12033;86872966147.6687;25.541723496358;19.6305943641961;28.1670932554891;107.07;32.045405604301;34.486;49.1;66.3780133263399;65.514;2018
Angola;36.7987486965589;7.88262506936516;963.1;-1.01027009470499;109.43;53.4233279860809;40.7907550532833;-4098478747.63755;86262880798.9347;17.0387830650203;17.0797044074953;19.1870038271785;113.83;28.8978590593907;33.823;49.1;57.8295381183036;66.177;2019
Armenia;58.8935721812434;17.2231200318056;3132.1;-7.5428731277611;110.61;52.1639834369854;29.7253912120334;184127986.314895;10553337518.414;41.9566831307241;3.73169119261693;1.21390990471085;100.33;0.760031512473456;36.915;20.0;71.6820743427575;63.085;2015
Armenia;58.8970846505093;16.39047353385;3076.1;-2.02631286211573;90.27;52.0792178240104;33.7442798606396;333823945.510433;10574444193.4325;42.3336875987152;-1.403607559009;0.268575076501392;105.04;0.22181770783942;36.918;18.5;76.0779674593548;63.082;2016
Armenia;58.872497365648;14.9942601242776;1975.1;13.9703026144384;87.87;51.7779239848325;38.2160456550464;252747990.684352;11367527508.1135;48.9863308847905;0.969553268816138;2.15064189848613;106.9;0.245815847777951;36.897;18.5;87.202376539837;63.103;2017
Armenia;58.9146469968388;13.9423116554146;2623.6;4.80531222274688;71.74;51.521835206116;39.3928940286073;266855048.832037;11958638938.496;53.0802129926047;2.52023382001638;2.78770951425761;102.0;1.09866113638474;36.851;18.5;92.473107021212;63.149;2018
Armenia;58.9041095890411;11.5256107379588;1690.6;11.5109078721298;68.53;49.6460814375233;41.3508013620849;100287214.397978;12867495497.6469;54.7633527667858;1.44344660770698;1.06562263923419;101.4;2.20100166948291;36.781;22.6;96.1141541288708;63.219;2019
Australia;45.3144240657095;2.37528258489241;2027.3;2.63208587107036;97.94;2.63650478185147;20.0581264737037;46892808567.8516;1351768945139.11;21.5361539403705;1.50836672165921;-0.622921248890535;102.38;3.23765474517452;14.299;47.6;41.5942804140742;85.701;2015
Australia;44.5399257932247;2.40425188192914;2075.2;2.61126085978121;99.19;2.62116297599488;19.2622259086547;42970225977.7088;1389336532090.02;21.5324159581804;1.27699094497324;-0.655771897383389;96.76;4.08098789525561;14.2;47.6;40.7946418668351;85.8;2016
Australia;48.3406179391109;2.70396697014513;2674.2;2.42988917874285;131.17;2.59605414168375;21.228525081023;48199372039.9015;1421551208676.45;20.7136840406098;1.94864740944527;3.65123280881308;90.98;5.06804774011339;14.096;47.5;41.9422091216328;85.904;2017
Australia;46.6580950127535;2.45710555762775;2035.6;2.74931117628745;104.5;2.61685196876642;21.853558200255;60686639529.923;1462866648667.66;21.4935202935385;1.91140094445691;1.87881043499081;97.18;5.22752063881788;13.988;47.4;43.3470784937935;86.012;2018
Australia;47.1237724290889;2.1130826925779;1768.9;1.61276380071394;84.09;2.55829811714711;24.1117883614814;38745129661.1196;1494773366351.99;21.6371749941796;1.61076787290379;3.46372273602202;97.71;5.74886126457436;13.876;47.4;45.7489633556611;86.124;2019
Austria;32.9429229277751;1.1297901935645;6198.1;0.487938119597686;92.74;4.53099865809131;53.0890605587958;-7975773543.92081;381971148530.543;49.3382548303838;0.89656333526032;2.30097866680524;100.17;0.134711076032329;42.285;51.7;102.42731538918;57.715;2015
Austria;32.3578526417838;1.11031647926172;7246.4;1.54535366722246;99.33;4.3481641092631;52.4063936498056;-28939340169.025;389570224508.691;48.5756846289351;0.891591752655362;1.84829469843848;101.37;0.111042441021613;42.095;51.6;100.982078278741;57.905;2016
Austria;32.1694134755211;1.21053643138638;6260.6;1.95655620566684;93.71;3.92985047040033;54.0511531414978;13518864836.2849;398368950204.699;50.8876917912507;2.08126911385587;1.0055341594591;101.37;0.121957004315667;41.906;51.8;104.938844932748;58.094;2017
Austria;32.1477217644207;1.13060289104829;6145.8;1.10698825511486;98.78;3.69411172994081;55.4622191178234;-28605757320.128;408030932405.258;52.4614203877556;1.9983798142954;1.83806444755734;101.49;0.140755073164382;41.703;51.5;107.923639505579;58.297;2018
Austria;32.1280901599612;1.05241585619679;6954.3;0.548669244799726;98.08;3.65613239350842;55.7607848112938;-12394032432.5489;413949540159.265;52.1317298002285;1.53089564152644;1.60787622974401;101.07;0.110022913288221;41.485;51.4;107.892514611522;58.515;2019
Bangladesh;72.4763002227856;14.7829964369364;4560.4;5.81712963518122;100.69;43.5392448910397;17.3366737865485;2831152765.15515;195078573252.202;24.7493225204896;6.19428022984991;5.87277704102323;101.1;0.899813880185078;65.692;34.4;42.0859963070382;34.308;2015
